,City,Children_Needing_Care_DemandEstimated_InfantsToddlers,Available_Spaces_for_Children_Supply_InfantsToddlers,Percent_of_Need_Met_InfantsToddlers,Shortage_of_care_InfantsToddlers,Children_Needing_Care_DemandEstimated_Preschoolers,Available_Spaces_for_Children_Supply_Preschoolers,Percent_of_Need_Met_Preschoolers,Shortage_of_Care_Preschoolers,is_imputed_InfantsToddlers,is_imputed_Preschoolers,expected_slots_by_need_InfantsToddlers,delta_slots_InfantsToddlers,capacity_above_expectation_InfantsToddlers,expected_slots_by_need_Preschoolers,delta_slots_Preschoolers,capacity_above_expectation_Preschoolers
31,Cornwall,15,8.0,53%,-7,13,18.0,136%,5,0,0,4.667377342942723,3.332622657057277,71.40246892821611,12.706461263554033,5.293538736445967,41.66021228608656
32,Coventry,38,32.0,640%,27,163,181.0,3620%,176,1,1,11.824022602121564,20.175977397878434,170.6354772550781,159.31947584302364,21.68052415697636,13.608207058337317
33,Cromwell,336,214.0,64%,-122,298,362.0,121%,64,0,0,104.549252481917,109.450747518083,104.68821624240094,291.2711889645463,70.7288110354537,24.282803694691154
34,Danbury,2361,408.0,17%,-1953,1594,1411.0,89%,-183,0,0,734.6451937791846,-326.64519377918464,-44.46298656074319,1558.0076349311637,-147.0076349311637,-9.435617107079121
35,Darien,470,38.0,8%,-432,602,724.0,120%,122,0,0,146.244490078872,-108.24449007887199,-74.01611508269063,588.4068985122714,135.59310148772863,23.044104654544732
36,Deep River,28,2.0,40%,-3,119,57.0,1140%,52,1,1,8.712437706826416,-6.712437706826416,-77.04431219711391,116.31299156637922,-59.312991566379225,-50.99429630999527
37,Derby,400,110.0,28%,-290,282,121.0,43%,-161,0,0,124.46339581180594,-14.463395811805938,-11.620601958888557,275.63246740940286,-154.63246740940286,-56.10096258352755
38,Durham,5,43.0,860%,38,181,73.0,1460%,68,1,1,1.5557924476475744,41.444207552352424,2663.8648114674847,176.91303759256,-103.91303759255999,-58.736788993402044
39,East Granby,10,66.0,1320%,61,46,103.0,2060%,98,1,1,3.111584895295149,62.88841510470485,2021.1055529866744,44.961324471037344,58.038675528962656,129.08577808100233
40,East Haddam,240,29.0,12%,-211,214,70.0,33%,-144,0,0,74.67803748708357,-45.67803748708357,-61.16662813345104,209.1679008000433,-139.1679008000433,-66.53406199887363
41,East Hampton,251,130.0,52%,-121,390,293.0,75%,-97,0,0,78.10078087190823,51.89921912809177,66.45160080180351,381.19383790662096,-88.19383790662096,-23.136218148475248
42,East Hartford,1239,326.0,26%,-913,1012,1125.0,111%,113,0,0,385.5253685270689,-59.525368527068906,-15.440065268464803,989.1491383628216,135.85086163717835,13.73411312494598
43,East Haven,563,96.0,17%,-467,497,336.0,68%,-161,0,0,175.18222960511687,-79.18222960511687,-45.19992112419378,485.77778830664266,-149.77778830664266,-30.83257240491548
44,East Lyme,223,144.0,65%,-79,323,233.0,72%,-90,0,0,69.3883431650818,74.6116568349182,107.52765296241415,315.7066913944579,-82.70669139445789,-26.19731974293839
45,East Windsor,5,33.0,660%,28,143,123.0,2460%,118,1,1,1.5557924476475744,31.444207552352424,2021.1055529866744,139.77107389909435,-16.771073899094347,-11.998959034400762
46,Eastford,20,2.0,40%,-3,65,21.0,420%,16,1,1,6.223169790590298,-4.223169790590298,-67.86203707595948,63.532306317770164,-42.532306317770164,-66.9459504665798
47,Easton,173,38.0,22%,-135,67,156.0,233%,89,0,0,53.83041868860607,-15.830418688606073,-29.407942710200007,65.4871465121631,90.5128534878369,138.2146853368023
48,Ellington,432,92.0,21%,-340,346,270.0,78%,-76,0,0,134.42046747675042,-42.42046747675042,-31.55804192102481,338.18735362997654,-68.18735362997654,-20.16259712200323
49,Enfield,780,387.0,50%,-393,817,835.0,102%,18,0,0,242.7036218330216,144.2963781669784,59.45373912312413,798.5522194095112,36.44778059048883,4.564232582991268
50,Essex,19,31.0,620%,26,243,117.0,2340%,112,1,1,5.912011301060782,25.087988698939217,424.35623718171377,237.51308361874078,-120.51308361874078,-50.73955580998225
51,Fairfield,1382,360.0,26%,-1022,1415,1106.0,78%,-309,0,0,430.0210325297895,-70.02103252978952,-16.283164597289517,1383.0494375329965,-277.04943753299654,-20.031781223032873
52,Farmington,509,410.0,81%,-99,400,589.0,147%,189,0,0,158.37967117052307,251.62032882947693,158.8716070502282,390.9680388785856,198.03196112141438,50.651700760356235
53,Franklin,11,20.0,400%,15,105,41.0,820%,36,1,1,3.4227433848246633,16.577256615175337,484.3265986189186,102.62911020562872,-61.62911020562872,-60.05032108545812
54,Glastonbury,665,349.0,52%,-316,816,648.0,79%,-168,0,0,206.92039553712738,142.07960446287262,68.66389564646832,797.5747993123147,-149.57479931231467,-18.75370177709741
55,Goshen,78,14.0,280%,9,147,4.0,80%,-1,1,1,24.270362183302158,-10.270362183302158,-42.316476803004186,143.6807542878802,-139.6807542878802,-97.21605024985772
56,Granby,36,70.0,1400%,65,15,205.0,4100%,200,1,1,11.201705623062535,58.79829437693746,524.9048346341212,14.66130145794696,190.33869854205304,1298.2387620089655
