,City,Total_Preschoolers_Needing_Care,Total#_Preschool_Slots_Public/Charter/Magnet_School_Funded_IncludesOverlaps,#Needed_to_Expand_Public_Preschool_to_Meet_100%_Demand_#NeedingCare_CurrentPublicPreschool,is_imputed_Preschool,expected_slots_by_need_Preschool,delta_slots_Preschool,capacity_above_expectation_Preschool
77,Manchester,1259,208.0,"1,051",0,327.1263360018072,-119.1263360018072,-36.41600289899896
78,Mansfield,234,108.0,126,0,60.80028802575289,47.19971197424711,77.63073746337345
79,Marlborough,44,10.0,-5,1,11.43253279116721,-1.43253279116721,-12.530318673338833
80,Meriden,1537,45.0,"1,492",0,399.3591568187273,-354.3591568187273,-88.7319473632538
81,Middlebury,169,25.0,144,0,43.91131912971042,-18.91131912971042,-43.067071325841844
82,Middlefield,20,0.0,5,1,5.196605814166913,-5.196605814166913,-100.0
83,Middletown,828,145.0,683,0,215.13948070651023,-70.13948070651023,-32.60186390530214
84,Milford,990,164.0,826,0,257.2319878012622,-93.23198780126222,-36.24432116634475
85,Monroe,401,41.0,360,0,104.19194657404661,-63.19194657404661,-60.64954984705816
86,Montville,365,37.0,328,0,94.83805610854617,-57.83805610854617,-60.98612569868372
87,Morris,7,0.0,5,1,1.8188120349584198,-1.8188120349584198,-100.0
88,Naugatuck,805,120.0,685,0,209.16338402021827,-89.16338402021827,-42.62858168884833
89,New Britain,1451,502.0,949,0,377.0137518178096,124.98624818219042,33.15164170525789
90,New Canaan,391,41.0,350,0,101.59364366696316,-60.59364366696316,-59.64314447230262
91,New Fairfield,292,144.0,148,0,75.87044488683694,68.12955511316306,89.79722633072781
92,New Hartford,20,60.0,-55,1,5.196605814166913,54.803394185833085,1054.5997935119274
93,New Haven,3326,1908.0,"1,418",0,864.1955468959577,1043.8044531040423,120.7833640028821
94,New London,585,87.0,498,0,152.00072006438222,-65.00072006438222,-42.76342903957966
95,New Milford,529,120.0,409,0,137.45022378471486,-17.450223784714865,-12.695667787377888
96,Newington,498,101.0,397,0,129.39548477275613,-28.395484772756134,-21.94472614142926
97,Newtown,507,64.0,443,0,131.73395738913126,-67.73395738913126,-51.41723419805171
98,Norfolk,22,17.0,5,0,5.716266395583605,11.283733604416394,197.39691651064794
99,North Branford,63,14.0,-9,1,16.369308314625776,-2.3693083146257763,-14.474089369486848
100,North Canaan,5,108.0,5,1,1.2991514535417283,106.70084854645827,8213.118513285877
101,North Haven,458,63.0,395,0,119.00227314442232,-56.00227314442232,-47.05983479530463
102,North Stonington,58,30.0,-25,1,15.07015686108405,14.92984313891595,99.06892991584955
