total population,housing units,pop_male_under_5,pop_female_under_5,median_family_income_in_the_past_12_months_in_2019_inflation-adjusted_dollars_by_family_size_total,ratio of income to poverty level - < 0.5,children under 6 ratio of income to poverty level - < 0.5,children under 6 by parent employment status - all categories,children under 6 by parent employment status - both parents - in labor force,children under 6 by parent employment status - only father - in labor force,children under 6 by parent employment status - only mother - in labor force,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,children under 6 ratio of income to poverty level - 0.51 - 1.0,children under 6 ratio of income to poverty level - 1.01 - 2.0,children under 6 ratio of income to poverty level - > 2.0,town,demand_estimate,ratio_poverty,demand_estimate_2,%housing_lowerHalf_income,demand_estimate_3,children_below_200%_poverty,%all_parents_working,demand_estimate_4
18724,8657,308,209,121641.0,138,95,601,297,46,81,108,254,4259,15,51,440,East Lyme,259.0,0.026703695791497544,14.0,0.23117389446699424,120.0,161,0.7054908485856906,114.0
2535,1099,33,46,103250.0,9,6,125,54,15,21,24,55,635,0,5,114,Voluntown,40.0,0.03471400394477318,3.0,0.21676528599605524,18.0,11,0.72,8.0
4247,1804,49,58,101944.0,14,7,185,165,0,7,10,42,1216,0,11,167,Lisbon,54.0,0.015540381445726396,2.0,0.21238521309159406,23.0,18,0.9297297297297298,17.0
18835,7781,405,261,88096.0,262,75,814,458,53,138,67,410,4243,37,100,633,Montville,333.0,0.03923546588797452,27.0,0.2065569418635519,138.0,212,0.7972972972972973,170.0
2499,1197,41,69,123750.0,0,0,151,101,7,0,0,60,662,0,29,122,Lyme,55.0,0.024009603841536616,3.0,0.23949579831932774,27.0,29,0.7152317880794702,21.0
7396,4939,103,74,133365.0,15,15,245,122,0,20,25,84,2024,16,18,196,Old Lyme,89.0,0.0167658193618172,3.0,0.3338967009194159,60.0,49,0.5795918367346938,29.0
31347,12402,833,1172,92352.0,155,228,2085,915,306,426,215,875,6742,144,592,1177,Naugatuck,1003.0,0.03971671930328261,80.0,0.19781797301177145,397.0,964,0.7899280575539568,762.0
9705,3742,206,117,118636.0,0,0,459,364,15,0,0,180,2320,0,65,394,Prospect,162.0,0.01854714064914992,6.0,0.19278722308088614,63.0,65,0.8257080610021786,54.0
59676,28826,1706,1702,77621.0,434,243,4053,1506,196,1112,643,1967,11208,251,1027,2546,Meriden,1704.0,0.051008780749379985,174.0,0.24152087941551043,824.0,1521,0.694300518134715,1057.0
25898,10286,698,542,128663.0,46,18,1533,1029,70,72,204,335,6587,17,24,1489,South Windsor,620.0,0.02258861688161248,29.0,0.1985867634566376,247.0,59,0.7638617090671885,46.0
